,Op Type,Operator A,Operator B,Output,Bound,C/M ratio,Op Intensity,Latency (msec),Cycles,C Effcy,Flops (MFLOP),Input_a (MB),Input_w (MB),Output (MB),Total Data (MB),Throughput (Tflops),Compute Cycles,Memory Cycles
0,aten::mul,1,1,1,M,0.0024390243902439024,0.3333333333333333,6.666666666666667e-09,0.006266666666666667,1.0,2e-06,1e-06,1e-06,1e-06,3e-06,0.3,1.5284552845528455e-05,0.006266666666666667
1,aten::matmul,"[4, 1]","[1, 4]","[4, 4]",M,0.004878048780487805,0.6666666666666666,5.3333333333333334e-08,0.050133333333333335,1.0,3.2e-05,4e-06,4e-06,1.6e-05,2.4e-05,0.6,0.0002445528455284553,0.050133333333333335
2,aten::mul,"[4, 1]",1,"[4, 1]",M,0.003252032520325203,0.4444444444444444,2e-08,0.0188,1.0,8e-06,4e-06,1e-06,4e-06,9e-06,0.39999999999999997,6.113821138211382e-05,0.0188
3,aten::mul,"[1, 4]",1,"[1, 4]",M,0.003252032520325203,0.4444444444444444,2e-08,0.0188,1.0,8e-06,4e-06,1e-06,4e-06,9e-06,0.39999999999999997,6.113821138211382e-05,0.0188
4,aten::mul,1,1,1,M,0.0024390243902439024,0.3333333333333333,6.666666666666667e-09,0.006266666666666667,1.0,2e-06,1e-06,1e-06,1e-06,3e-06,0.3,1.5284552845528455e-05,0.006266666666666667
5,aten::matmul,"[4, 1]","[1, 4]","[4, 4]",M,0.004878048780487805,0.6666666666666666,5.3333333333333334e-08,0.050133333333333335,1.0,3.2e-05,4e-06,4e-06,1.6e-05,2.4e-05,0.6,0.0002445528455284553,0.050133333333333335
6,aten::cos,"[4, 4]",0,"[4, 4]",M,0.056249999999999994,0.5,7.111111111111111e-08,0.06684444444444444,1.0,3.2e-05,1.6e-05,0.0,1.6e-05,3.2e-05,0.45,0.00376,0.06684444444444444
7,aten::reciprocal,[],0,[],M,0.056249999999999994,0.5,4.444444444444444e-09,0.004177777777777778,1.0,2e-06,1e-06,0.0,1e-06,2e-06,0.45,0.000235,0.004177777777777778
8,aten::mul,1,1,1,M,0.0024390243902439024,0.3333333333333333,6.666666666666667e-09,0.006266666666666667,1.0,2e-06,1e-06,1e-06,1e-06,3e-06,0.3,1.5284552845528455e-05,0.006266666666666667
9,aten::mul,1,"[4, 4]","[4, 4]",M,0.003547671840354767,0.48484848484848486,7.333333333333334e-08,0.06893333333333333,1.0,3.2e-05,1e-06,1.6e-05,1.6e-05,3.3e-05,0.43636363636363634,0.0002445528455284553,0.06893333333333333
10,aten::matmul,"[4, 4]","[1, 3, 65536, 4, 4]","[1, 3, 65536, 4, 4]",M,0.014634109124999371,1.9999949137499142,0.013981048888888889,13142.185955555557,1.0,25.165824,1.6e-05,3.145728,3.145728,6.291472,1.7999954223749228,192.32418341463415,13142.185955555557
11,aten::matmul,"[1, 3, 65536, 4, 4]","[4, 4]","[1, 3, 65536, 4, 4]",M,0.014634109124999371,1.9999949137499142,0.013981048888888889,13142.185955555557,1.0,25.165824,3.145728,1.6e-05,3.145728,6.291472,1.7999954223749228,192.32418341463415,13142.185955555557
12,aten::mul,"[4, 4]","[1, 3, 65536, 4, 4]","[1, 3, 65536, 4, 4]",M,0.003658527281249843,0.49999872843747856,0.013981048888888889,13142.185955555557,1.0,6.291456,1.6e-05,3.145728,3.145728,6.291472,0.4499988555937307,48.08104585365854,13142.185955555557
13,aten::mul,1,1,1,M,0.0024390243902439024,0.3333333333333333,6.666666666666667e-09,0.006266666666666667,1.0,2e-06,1e-06,1e-06,1e-06,3e-06,0.3,1.5284552845528455e-05,0.006266666666666667
14,aten::mul,1,1,1,M,0.0024390243902439024,0.3333333333333333,6.666666666666667e-09,0.006266666666666667,1.0,2e-06,1e-06,1e-06,1e-06,3e-06,0.3,1.5284552845528455e-05,0.006266666666666667
15,aten::pow,"[48, 18, 4, 4]",0,"[48, 18, 4, 4]",M,0.05625,0.5,6.144e-05,57.7536,1.0,0.027648,0.013824,0.0,0.013824,0.027648,0.45,3.24864,57.7536
16,aten::mul,"[48, 18, 4, 4]","[48, 1, 1, 1]","[48, 18, 4, 4]",M,0.003652195967366952,0.49913344887348354,6.154666666666666e-05,57.853866666666676,1.0,0.027648,0.013824,4.8e-05,0.013824,0.027696,0.44922010398613516,0.21129365853658535,57.853866666666676
17,aten::_convolution,"[1, 18, 256, 256]","[48, 18, 4, 4]","[1, 48, 128, 128]",M,0.8370413820507484,114.39565554693561,0.004399786666666666,4135.799466666666,1.0,452.984832,1.179648,0.013824,0.786432,1.979904,102.95608999224206,3461.8353014634145,4135.799466666666
18,aten::pow,"[48, 48, 4, 4]",0,"[48, 48, 4, 4]",M,0.05625,0.5,0.00016383999999999998,154.00959999999998,1.0,0.073728,0.036864,0.0,0.036864,0.073728,0.45,8.66304,154.00959999999998
19,aten::mul,"[48, 48, 4, 4]","[48, 1, 1, 1]","[48, 48, 4, 4]",M,0.0036561562752907948,0.4996746909564086,0.00016394666666666666,154.10986666666668,1.0,0.073728,0.036864,4.8e-05,0.036864,0.073776,0.4497072218607678,0.563449756097561,154.10986666666668
20,aten::_convolution,"[1, 48, 128, 128]","[48, 48, 4, 4]","[1, 48, 64, 64]",C,1.0832794593006172,148.04819277108433,0.002455202341463415,2307.89020097561,1.0,301.989888,0.786432,0.036864,0.196608,1.019904,122.99999999999999,2307.89020097561,2130.4661333333333
21,aten::pow,"[64, 48, 4, 4]",0,"[64, 48, 4, 4]",M,0.05625000000000001,0.5,0.0002184533333333333,205.3461333333333,1.0,0.098304,0.049152,0.0,0.049152,0.098304,0.45,11.55072,205.3461333333333
22,aten::mul,"[64, 48, 4, 4]","[64, 1, 1, 1]","[64, 48, 4, 4]",M,0.0036561562752907943,0.4996746909564086,0.00021859555555555556,205.47982222222223,1.0,0.098304,0.049152,6.4e-05,0.049152,0.098368,0.4497072218607678,0.7512663414634146,205.47982222222223
23,aten::_convolution,"[1, 48, 64, 64]","[64, 48, 4, 4]","[1, 64, 32, 32]",C,1.1830551989730422,161.68421052631578,0.0008184007804878049,769.2967336585366,1.0,100.663296,0.196608,0.049152,0.065536,0.311296,123.0,769.2967336585366,650.2627555555556
24,aten::pow,"[64, 64, 4, 4]",0,"[64, 64, 4, 4]",M,0.056249999999999994,0.5,0.0002912711111111111,273.79484444444444,1.0,0.131072,0.065536,0.0,0.065536,0.131072,0.45,15.40096,273.79484444444444
25,aten::mul,"[64, 64, 4, 4]","[64, 1, 1, 1]","[64, 64, 4, 4]",M,0.003656751062386173,0.4997559785261103,0.00029141333333333334,273.92853333333335,1.0,0.131072,0.065536,6.4e-05,0.065536,0.131136,0.4497803806734992,1.0016884552845529,273.92853333333335
26,aten::_convolution,"[1, 64, 32, 32]","[64, 64, 4, 4]","[1, 64, 16, 16]",M,0.8325203252032519,113.77777777777777,0.00032768,308.0192,1.0,33.554432,0.065536,0.065536,0.016384,0.147456,102.39999999999999,256.43224455284553,308.0192
27,aten::pow,"[128, 64, 4, 4]",0,"[128, 64, 4, 4]",M,0.056249999999999994,0.5,0.0005825422222222222,547.5896888888889,1.0,0.262144,0.131072,0.0,0.131072,0.262144,0.45,30.80192,547.5896888888889
28,aten::mul,"[128, 64, 4, 4]","[128, 1, 1, 1]","[128, 64, 4, 4]",M,0.003656751062386173,0.4997559785261103,0.0005828266666666667,547.8570666666667,1.0,0.262144,0.131072,0.000128,0.131072,0.262272,0.4497803806734992,2.0033769105691057,547.8570666666667
29,aten::_convolution,"[1, 64, 16, 16]","[128, 64, 4, 4]","[1, 128, 8, 8]",M,0.39435173299101406,53.89473684210526,0.0003458844444444445,325.1313777777778,1.0,16.777216,0.016384,0.131072,0.008192,0.155648,48.50526315789473,128.21612227642277,325.1313777777778
30,aten::pow,"[128, 128, 4, 4]",0,"[128, 128, 4, 4]",M,0.056249999999999994,0.5,0.0011650844444444444,1095.1793777777777,1.0,0.524288,0.262144,0.0,0.262144,0.524288,0.45,61.60384,1095.1793777777777
31,aten::mul,"[128, 128, 4, 4]","[128, 1, 1, 1]","[128, 128, 4, 4]",M,0.003657643605969865,0.4998779594825482,0.0011653688888888889,1095.4467555555557,1.0,0.524288,0.262144,0.000128,0.262144,0.524416,0.44989016353429334,4.006753821138211,1095.4467555555557
32,aten::_convolution,"[1, 128, 8, 8]","[128, 128, 4, 4]","[1, 128, 4, 4]",M,0.11267192371171833,15.398496240601503,0.0006052977777777777,568.979911111111,1.0,8.388608,0.008192,0.262144,0.002048,0.272384,13.858646616541353,64.10806113821138,568.979911111111
33,aten::pow,"[256, 2048]",0,"[256, 2048]",M,0.056249999999999994,0.5,0.002330168888888889,2190.3587555555555,1.0,1.048576,0.524288,0.0,0.524288,1.048576,0.45,123.20768,2190.3587555555555
34,aten::mul,"[256, 2048]","[256, 1]","[256, 2048]",M,0.003657643605969865,0.4998779594825482,0.0023307377777777778,2190.8935111111114,1.0,1.048576,0.524288,0.000256,0.524288,1.048832,0.44989016353429334,8.013507642276423,2190.8935111111114
35,aten::linear,"[1, 2048]","[256, 2048]","[1, 256]",M,0.007285058752386259,0.9956246961594555,0.0011702044444444446,1099.992177777778,1.0,1.048576,0.002048,0.524288,0.000256,0.526592,0.8960622265435099,8.013507642276423,1099.992177777778
36,aten::pow,"[256, 21918]",0,"[256, 21918]",M,0.05625000000000001,0.5,0.024937813333333333,23441.544533333334,1.0,11.222016,5.611008,0.0,5.611008,11.222016,0.45,1318.58688,23441.544533333334
37,aten::mul,"[256, 21918]","[256, 1]","[256, 21918]",M,0.003658453127634135,0.4999885941099984,0.02493838222222222,23442.079288888886,1.0,11.222016,5.611008,0.000256,5.611008,11.222272,0.4499897346989986,85.76174829268292,23442.079288888886
38,aten::linear,"[1, 21918]","[256, 21918]","[1, 256]",M,0.007288270838322102,0.996063681237354,0.01251818222222222,11767.091288888889,1.0,11.222016,0.021918,5.611008,0.000256,5.633182,0.8964573131136186,85.76174829268292,11767.091288888889
39,aten::pow,"[512, 512]",0,"[512, 512]",M,0.056249999999999994,0.5,0.0011650844444444444,1095.1793777777777,1.0,0.524288,0.262144,0.0,0.262144,0.524288,0.45,61.60384,1095.1793777777777
40,aten::mul,"[512, 512]","[512, 1]","[512, 512]",M,0.0036549672813801304,0.4995121951219512,0.0011662222222222224,1096.248888888889,1.0,0.524288,0.262144,0.000512,0.262144,0.5248,0.44956097560975605,4.006753821138211,1096.248888888889
41,aten::linear,"[1, 512]","[512, 512]","[1, 512]",M,0.007288602068900067,0.9961089494163424,0.0005848177777777777,549.7287111111111,1.0,0.524288,0.000512,0.262144,0.000512,0.263168,0.8964980544747082,4.006753821138211,549.7287111111111
42,aten::mul,"[1, 256]",1,"[1, 256]",M,0.003651404935101982,0.49902534113060426,1.14e-06,1.0716,1.0,0.000512,0.000256,1e-06,0.000256,0.000513,0.44912280701754376,0.003912845528455285,1.0716
43,aten::mul,"[1, 256]",1,"[1, 256]",M,0.003651404935101982,0.49902534113060426,1.14e-06,1.0716,1.0,0.000512,0.000256,1e-06,0.000256,0.000513,0.44912280701754376,0.003912845528455285,1.0716
44,aten::mul,"[1, 256]",1,"[1, 256]",M,0.003651404935101982,0.49902534113060426,1.14e-06,1.0716,1.0,0.000512,0.000256,1e-06,0.000256,0.000513,0.44912280701754376,0.003912845528455285,1.0716
45,aten::pow,"[1, 256]",0,"[1, 256]",M,0.056249999999999994,0.5,1.1377777777777777e-06,1.069511111111111,1.0,0.000512,0.000256,0.0,0.000256,0.000512,0.45,0.06016,1.069511111111111
46,aten::mul,"[1, 256]",1,"[1, 256]",M,0.003651404935101982,0.49902534113060426,1.14e-06,1.0716,1.0,0.000512,0.000256,1e-06,0.000256,0.000513,0.44912280701754376,0.003912845528455285,1.0716
47,aten::mean,"[1, 256]",0,[],M,0.00043774319066147856,0.0038910505836575876,5.711111111111111e-07,0.5368444444444445,1.0,2e-06,0.000256,0.0,1e-06,0.000257,0.0035019455252918285,0.000235,0.5368444444444445
48,aten::mul,1,1,1,M,0.0024390243902439024,0.3333333333333333,6.666666666666667e-09,0.006266666666666667,1.0,2e-06,1e-06,1e-06,1e-06,3e-06,0.3,1.5284552845528455e-05,0.006266666666666667
49,aten::mul,"[1, 256]","[1, 256]","[1, 256]",M,0.0024390243902439024,0.3333333333333333,1.7066666666666667e-06,1.6042666666666667,1.0,0.000512,0.000256,0.000256,0.000256,0.000768,0.3,0.003912845528455285,1.6042666666666667
50,aten::pow,"[48, 30, 4, 4]",0,"[48, 30, 4, 4]",M,0.056249999999999994,0.5,0.0001024,96.256,1.0,0.04608,0.02304,0.0,0.02304,0.04608,0.45,5.4144,96.256
51,aten::mul,"[48, 30, 4, 4]","[48, 1, 1, 1]","[48, 30, 4, 4]",M,0.0036547295753914873,0.4994797086368366,0.00010250666666666667,96.35626666666667,1.0,0.04608,0.02304,4.8e-05,0.02304,0.046128,0.449531737773153,0.3521560975609756,96.35626666666667
52,aten::_convolution,"[1, 30, 256, 256]","[48, 30, 4, 4]","[1, 48, 128, 128]",M,0.9951543455666986,136.00442722744882,0.006167893333333333,5797.819733333333,1.0,754.97472,1.96608,0.02304,0.786432,2.775552,122.40398450470394,5769.725502439024,5797.819733333333
